"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sun Apr 16 21:21:24 IST 2023","Sun Apr 16 21:21:37 IST 2023","13200","chromium","RG_Automation","Accessibilty Tests","","","FullPageAccessibilityTest",""
"passed","Sun Apr 16 21:21:24 IST 2023","Sun Apr 16 21:21:35 IST 2023","11131","chromium","RG_Automation","Accessibilty Tests","","","TargetElementScan",""
